0.568 liter, pint
abfrageeinrichtung, interrogator
abfrage, inquiry
abfragekriterium, qualifier
abfrageleitung, sense line
abfragenden, quizzing
abfragend, quizzes
abfragen, query
abfragen, sample
abfragesprache, query language
abfragestation, query station
abfrageterminal, inquiry terminal
abfrageverarbeitung, inquiry processing
abfühlen, sense
abfühlstift, pecker
abfuhr, carriage
abführende, purging
abführend, evacuative
abführen, discharge
abführend, purgative
abführmittel, laxative
abfüllend, filling
abfüllen, fill
abfüllerfirma, bottler
abfüllerfirmen, bottlers
abfüllstation, filling station
abfütternd, feeding
abgabebedingungen, terms of sale
abgabe, due
abgabe, duty
abgabe, impost
abgabeland, sending country
abgabe, levy
abgaben, duties
abgabenfrei, non-accessable
abgabenfrei, non-accessible
abgabenpflichtig, dutiable
abgaben, taxes
abgabepflichtig, dutiable
abgabepreis, sales price
abgabepreis, selling price
abgabe, tax
abgabe, toll
abgang, daparture
abgang, dispatch
abgänge, persons leaving
abgänger, persons leaving
abgang, items disposed of
abgang, leaving
abgang, outflow
abgang, separation
abgangsflughafen, airport of departure
abgangsflughafen, airport of depature
abgangskontrolle, physical exit control
abgangsquote, rate of outflow
abgangsrate, separation rate
abgangsrate, wastage rate
abgangszeit, departure time
abgangszeugnis, diploma
abgangszeugnis, leaving certificate
abgarbild, mandylion
abgas, flue gas
abgaskühler, exhaust gas cooler
abgasverlust, exhaust gas losses
abgeändert, modified
abgearbeitet, processed
abgebaut, dismantled
abgebend, delivering
abgeben, deliver
abgebettelt, wheedled out
abgebildet, mapped
abgebissen, bitten off
abgeblasen, cancelled
abgeblättert, peeled off
abgeblendet, screened off
abgeblitzt, met with a rebuff
abgebogen, bent off
abgebracht, dissuaded
abgebrannt, burnt down
abgebraust, buzzed off
abgebremst, slowed down
abgebrochen, aborted
abgebröckelt, crumbled
abgebrüht, hard boiled
abgebucht, written off
abgebunden, undone
abgebürstet, brushed off
abgedankt, resigned
abgedeckt, uncovered
abgedichtet, sealed up
abgedient, served
abgedreht, turned off
abgedroschen, hackneyed
abgedroschen, stereotyped
abgedroschen, trite
abgedrosselt, throttled
abgedruckt, imprinted
abgedrückt, squeezed off
abgeerntet, harvested
abgefallen, fallen off
abgefangen, intercepted
abgefärbt, faded
abgefasst, indited
abgefaster kragbogen, chamfered corbel arch
abgefaste stufe, chamfered step
abgefault, rotted off
abgefeilt, filed off
abgefertigt, dispatched
abgefeuert, fired off
abgeflachte, levelled
abgeflacht, flattened
abgeflacht, oblate
abgeflaut, waned
abgeflogen, taken off
abgeflossen, drained off
abgeflossene, drained
abgefordert, demanded
abgefragt, prompted
abgeführt, led away
abgefüllt, filled
abgefunden, compensated
abgefütterte, fed
abgegeben, delivered
abgeglitten, slid
abgegossen, decanted
abgegraben, dug off
abgegrast, grazed
abgegrenzt, marked-off
abgehackt, chopped
abgehackter, choppier
abgehackteste, choppiest
abgehalten, detained
abgehaltener, kept form
abgehalten werden, be held
abgehangen, hung
abgehängt, taken down
abgehärmt, haggard
abgehärtet, hardened
abgehärtet, hardy
abgeheilt, healed
abgehend, out-bound
abgehetzt, exhausted
abgehoben, lifted
abgehoben, withdrawn
abgehoben/zurückgezogen, withdrawn
abgeholt, fetched
abgehört, listened in to
abgeirrt, strayed
abgejagt, recovered a from
abgekaffter strebepfeiler, weathered buttress pier
abgekartet, collusive
abgekauft, bought from
abgekehrt, turned away
abgeklärt, clarified
abgeklärtheit, serenity
abgeklemmt, pinched off
abgeklopfter, kocked off
abgeklopft, knocked off
abgeklungen, faded away
abgeknabbert, nibbled off
abgeknallt, bumped off
abgeknickt, snapped off
abgekocht, boiled
abgekoppelt, uncoupled
abgekratzt, scraped off
abgekriegt, got
abgekühlt, chilled
abgekühlt, cooled off
abgekürzte, abbreviated
abgekürztes, abbreviated
abgekürzt, shortened
abgeküsst, smothered with kisses
abgeladen, unloaded
abgelagert, deposited
abgelassen, let off
abgelaufener, stale cheque
abgelaufen, expired
abgelaufen, out of date
abgeleckt, licked
abgeleckt, licked off
abgelegen, back
abgelegener ort, private place
abgelegen, remote
abgelegt, discarded
abgelehnt, declined
abgelehnt, rejected
abgeleistet, fulfilled
abgeleitet, deduced
abgelenkt, deflected
abgeleugnet, abnegated
abgeleugnet, forsworn
abgelöscht, extinguished
abgelöst, detached
abgelten, satisfy
abgemachte, settled
abgemacht, it's a bargain
abgemagert, emaciated
abgemagert, slimmed
abgemildert, moderated
abgemüht, struggled with
abgemustert, paid off
abgenagt, gnawed off
abgeneigt, antipathetic
abgeneigt, averse
abgeneigt, disinclined
abgeneigte, antipathetical
abgeneigtes, antipathetically
abgeneigtheit, averseness
abgenommen, waned
abgenötigt, wrung from
abgenutze münze, worn coin
abgenutzt, battered
abgenutzte münze, worn coin
abgenutzt, time-worn
abgenutzt, worn
abgenutzt, worn-out
abgeordnet, delegated
abgeordnete, delegate
abgeordneter, representative
abgepackte ware, packaged goods
abgepalgt, worked oneself to death
abgepasst, adjusted
abgepflückt, picked
abgeplattete, oblately
abgeplattet, oblate
abgeplattet, prolate
abgeprallt, rebounded
abgequält, worried
abgequetscht, squeezed
abgerackert, drudged
abgeraten, dissuaded
abgeräumt, cleared
abgerechnet, deducted
abgereist, departed
abgerichtet, performing
abgerichtet, trained
abgerieben, rubbed off
abgeriegelt, bolted
abgeriegelte bresche, barred breach
abgerissen, demolished
abgerissen, torn off
abgerollt, unrolled
abgerückt, moved away
abgerundeter giebelbogen, round-headed mitre arch
abgerundete stufe, round-end step
abgerundete stufe, step with rounded front edge
abgerundet, rounded
abgerüstet, disarmed
abgerutscht, slipped off
abgesackt, sunk
abgesägt, sawed off
abgesahnt, skimmed
abgesandte, delegate
abgesandt, mailed
abgesaugt, sucked off
abgeschafft, abolished
abgeschaltet, off
abgeschaltet, shorted
abgeschätzt, estimated
abgeschäumt, scummed
abgeschieden, cloistered
abgeschiedenheit, seclusion
abgeschirmt, sceened
abgeschlachtet, slaughtered
abgeschlagen, chipped
abgeschleppt, towed off
abgeschliffen, polished
abgeschlossen, closed
abgeschlossen, completed
abgeschlossen, concluded
abgeschlossenheiten, seclusiveness
abgeschlossenheit, insularity
abgeschlossen, self-contained
abgeschmackt, vulgar
abgeschmiert, greased
abgeschminkt, removed the make up
abgeschmolzen, melted off
abgeschnallt, unstrapped
abgeschnitten, cropped
abgeschnitten, truncated
abgeschnitzelt, chipped
abgeschnürt, strangulated
abgeschoben, deported
abgeschöpft, skimmed
abgeschossen, downed
abgeschrägt, canted
abgeschrägte ecke, truncated corner
abgeschrägte rippe, chamfered rib
abgeschrägt, slanted
abgeschraubt, screwed off
abgeschreckt, deterred
abgeschreckteste, most deterred
abgeschrieben, copied
abgeschritten, paced off
abgeschuftet, slaved
abgeschürft, grazed
abgeschüttelt, shaken off
abgeschwächtes, weakenen
abgeschwächt, extenuated
abgeschweift, digressed
abgeschweifte stufe, quadrant step
abgeschwenkt, deviated
abgeschworen, abjured
abgesegelter, sailed away
abgesegelt, sailed
abgesehen, apart from
abgeseift, soaped
abgeseilt, roped
abgesessen, dismounted
abgesetzt, degraded
abgesetztsein, isolation
abgesichert, fused
abgesondert, apart
abgesondert, clearly set aside
abgesondertere, more separated
abgesondertste, most separated
abgespalten, schismatic
abgespalten, split off
abgespanntere, more exhausted
abgespannteste, most exhausted
abgesperrt, locked
abgespiegelt, reflected
abgespiesen, put off
abgesplittert, splintered
abgesprochen, agreed
abgespült, washed up
abgestammt, descended
abgestammt, stemmed
abgestandenheit, staleness
abgestanden, stale
abgestattet, made a call on
abgestaubt, dusted
abgestellt, put down
abgestempelt, postmarked
abgesteppt, stitched
abgestimmt, attuned
abgestochen, contrasted with
abgestorben, dead
abgestoßen, disgusted
abgestrichen, wiped off
abgestuft, graded
abgestuft, stepped
abgestumpft, deadened
abgestumpftere, more indifferent
abgestumpfteste, most indifferent
abgestürzt, crashed
abgestützt, supported
abgesucht, searched
abgesumpft, blunted
abgetastete, sampled
abgetastet, felt
abgetastet, scanned
abgeteilt, divided
abgeteilt, parcelled
abgetippt, typewritten
abgetragen, shabby
abgetrennt, segregated
abgetrennt, severed
abgetrieben, drifted
abgetrieben, procured abortion
abgetrocknet, dried
abgetropft, dripped off
abgetupft, dabed
abgetupfte, dabbed
abgeurteilt, condemned
abgewählte, deselected
abgewälzt, shifted
abgewandelt, modified
abgewandert, migrated
abgewandt, averted
abgewartet, bided
abgewässerte stufe, sloping step
abgewechselt, alternated
abgewehrt, fended
abgewertet, devaluated
abgewichen, deviated
abgewickelt, liquidated
abgewiesen, refused
abgewinnen, take pleasure in
abgewirtschaftet, ruined
abgewischt, wiped
abgewogen, weighed
abgewöhnend, giving up
abgewöhnen, give up
abgewöhnt, given up
abgewonnen, taken pleasure in
abgeworfen, dropped
abgewürgt, stalled
abgezählt, counted
abgezählt, numbered
abgezahlt, paid-up
abgezapft, drawn off
abgezäunt, fenced off
abgezehrt, haggard
abgezielt, aimed at
abgezogen, deducted
abgezweigt, branched off
abgießend, decanting
abgießen, decant
abgleichen, align
abgleitend, sliding
abgleiten, slid
abgötterei, idolatrousness
abgötter, idols
abgott, idol
abgöttische, idolatrously
abgöttisch, idolatrous
abgöttisch lieben, dote
abgrabend, digging off
abgraben, dig off
abgrasend, grazing
abgrasen, graze
abgreagieren, abreact
abgreifend, thumbing
abgreifen, tap
abgrenzend, delimiting
abgrenzen, delimit
abgrenzer, delimiter
abgrenzung, boundary
abgrenzung, delimitation
abgrenzungen, delimitations
abgrenzungsstreitigkeiten, demarcation dispute
abgrund, abysm
abgründe, abysms
abgrundtief, abysmal
abgrundtiefe, abysmally
abgüsse, castings
abhacken, chop
abhackend, chopping
abhaken, check off
abhaken, tally
abhaken, tick off
abhakliste, check list
abhakliste, tally list
abhaltend, detainig
abhalten, detain
abhalten, held
abhalten, keep out
abhalten lehrstunde, give
abhalten von etwas, keep off
abhalten von, keep from
abhalten von, keep off from
abhaltung, disincentive
abhanden kommen, get lost
abhandlung, disquisition
abhandlungen, tracts
abhandlungen, treatises
abhandlung, tract
abhang, declivity
abhänge, declivities
abhängend, depending
abhängen, depend
abhängen, depend on
abhängendes, taking sown
abhang, hillside
abhängig, depend
abhängig, dependent
abhängige, dependent
abhängige von, dependently
abhängigkeit, addiction to
abhängigkeit, dependence
abhängigkeiten, dependences
abhängigkeit, subjection
abhängigkeit, subordination
abhängig sein, piggyback on
abhängig sein von, depending on
abhängig sein von, depend on
abhängigsein von, depend on
abhängig vom tourismus, dependent on tourism
abhängig von, contingent on
abhängig von, dependent
abhängling, pendant
abhang, slope
abhärten, harden
abhärtung, inurement
abhauend, bunking
abhauen, scoot
abhäuten, skin
abhebend, lifting
abheben, drawn
abheben, withdraw
abhebungen, drawings
abhebung, withdrawal
abheilend, healing
abheilen, heal
abhelfende, remedially
abhelfend, remedial
abhelfen, redress
abhelfen, remedy
abhetzen, rush about
abhilfemaßnahmen, corrective measures
abhilfemaßnahme, remedial measure
abhilfen, correctives
abhilfe, redress
abhilfe, remedy
abholbereit, ready for collection
abholen, call for
abholend, fetching
abholfach, pigeon-hole
abholgroßhandelsmarkt, cash and carry
abholgroßhändler, cash-and-carry wholesaler
abholgroßmarkt, cash-and-carry supermarket
abholung, collection at residence
abhörend, listening in to
abhören, intercept
abhören, wiretapping
abhörgerät, bugging device
abirrend, straying
abirren, stray
abirrung, aberrance
abisolieren, skinning
abisolierzange, stripper
abitur, high school graduation
abiturient, high-school graduate
abiturprüfung, school leaving examination
abitur, school leaving examination
abiturzeugnis, "abitur" certificate
abjagend, recovering from
abjagen, recover from
abkaufen, buy from
abkaufend, buying from
abkehren, turn away
abkehr, renunciation
abkehr, turning away
abklappern, canvass
abklären, clarify
abklären, clear
abklärend, clarifying
abklärung, clarification
abklemmend, pinching off
abklemmen, pinch off
abklingen, abate
abklingend, fading away
abklingen, ease
abklingen, fade away
abklingen, go down
abklingen, wear off
abklingzeit, decay time
abklopfen, brush off
abklopfen, knock off
abklopfen, percuss
abklopfen, stop the orchestra
abknabbernd, nibbling off
abknabbern, nibble off
abknallen, bump off
abknallend, bumping off
abknicken, deviate
abknickend, snapping off
abkochung, decoction
abkommandierend, assigning
abkomme, descendant
abkommen, agreement
abkommen, arrangement
abkommen, convention
abkommen, deviate
abkömmling, derivative
abkoppelnd, uncoupling
abkrabbelnd, unscrambling
abkrabbeln, unscramble
abkratzend, scraping off
abkratzen, scrape off
abkriegend, getting
abkühlen, cool
abkühlen, cool off
abkühlend, cooling
abkühlend, cooling off
abkühlung, chilling
abkühlung, cooling
abkühlungsfrist, cooling-off period
abkühlungsperiode, cooling-off period
abkunft, parentage
abkürzen, abbreviate
abkürzend, abbreviatory
abkürzer, abbreviator
abkürzung, abbreviation
abkürzungen, abbreviations
abkürzungi, acronym
abkürzung, shortcut
abkürzungszeichen, abbreviation
abküssend, smothering with kisses
abküssen, smother with kisses
abladen, offload
abladen, unlade
abladen, unload
abladeplätze, unloading points
abladeplatz, unloading point
ablader, unloader
ablage, clipboard
ablagefach, pocket
ablagekasten, tray
ablagekorb, filing basket
ablagekorb, filing tray
ablagemagazin, stacker
ablagen, depositions
ablagernd, depositing
ablagern, deposit
ablagerung, debris
ablagerung, deposit
ablagerungen, sediments
ablagerung, sedimentation
ablagesystem, filing system
ablagetische, deposit tables
ablaßbrief, letter of indulgence
ablassend, desisting
ablassen, desist
ablaßhahn, drain cock
ablass, indulgence
ablaßkanal, drain
ablaßschleuse, exit sluice
ablaufanweisung, run chart
ablauf, cycle
ablaufdatum, expiry
ablaufdatum, expiry date
ablaufdiagramm, flow chart
ablaufdiagramm, flowchart
ablauf, drain
abläufe, drains
ablaufend, expiring
ablaufen, elapse
ablaufen, expiration
ablaufen, expire
ablaufen, lapse
ablaufen, pass
ablaufen, run off
abläufe, parallel operations
ablauf, expiration
ablauf, expiry
ablauffähig, loadable
ablaufglied, step logic element
ablaufinvariant, reentrant
ablaufkette, sequence cascade
ablauf, lapse of a treaty
ablaufplan, schedule
ablaufrechner, object computer
ablaufrohr, drain pipe
ablaufschaltwerk, sequence processor
ablaufschaubild, flow chart
ablaufschritt, step
ablaufsteuerung, sequential control
ablaufstudie, chronological study
ablaufverfolger, tracer
ablaufverfolgung, backtrace
ablaufverfolgung, tracing
ablaufzeit, elapse time
ablaute, vowel gradations
ablaut, vowel gradation
ableckend, licking off
ablecken, lick off
ablegend, depositing
ablegen, discard
ablegen, file
ableger, offset
ablegung des eides, act of swearing
ablehen, reject
ablehnend, declining
ablehnende antwort, negative reply
ablehnende antwort, negative response
ablehnen, decline
ablehnende, renunciatory
ablehnen, dismiss
ablehnend, negatory
ablehnen, refuse
ablehnen, reject
ablehnung, disaffirmation
ablehnungen, disaffirmations
ablehnung, negative answer
ablehnung, refusal
ablehnung, rejection
ablehnungshinweis, disclaimer
ablehnungsschreiben, letter of regret
ableistend, fulfilling
ableisten, fulfill
ableitbar, derivable
ableiten, bleed off
ableitend, deducing
ableitende, revulsively
ableiten, derivate
ableiten von, derive from
ableiter, deflector
ableitkondensator, bypass capacitor
ableitung, deduction
ableitung, derivative
ableitungen, derivations
ableitungskanal, drainage
ablenkbar, deflectable
ablenkend, deflecting
ablenkend, deflective
ablenken, deflect
ablenken, deviate
ablenken, diffract
ablenken, distract
ablenkspule, deflector
ablenkung, deflection
ablenkung, distraction
ablenkung, diversion
ablenkungen, deflections
ablesend, reading off
ablesen, read off
ablesung, reading
ableugnen, abnegate
ableugnend, abnegating
ableugnen, disclaim
ablichtung, copy
ablichtungen, photographs
ablichtung, true copy
abliefern, deliver
ablieferungen, deliveries
abliegen, be far off
abliegend, being far off
ablösbar, detachable
ablösbarkeit, redeemableness
ablöschend, extinguishing
ablösend, detaching
ablösen, redeem
ablösen, unsolder
ablösesumme, transfer fee
ablösung, detachment
ablösung, redemption
ablösung, relief
ablösungssumme, redemption sum
ablöten, desolder
abluft, extracted air
ablutionskelch, ablution-chalice
ablutionswasser, ablution-water
ablutionswein, ablution-wine
abmachen, arrange
abmachung, arrangement
abmachung, convention
abmachung, deal
abmachungen, conditions
abmagernd, losing weight
abmagern, lose weight
abmagerung, emaciation
abmähend, scything
abmähen, scythe
abmahnung, dissuasiveness
abmalen, copy
abmalen, paint
abmalen, picture
abmalen, portray
abmarsch, decampment
abmarschierend, decamping
abmarschieren, decamp
abmarschierte, decamped
abmarschiert, marched-off
abmeldend, giving notice of depature
abmelden, give notice of depature
abmeldung, notice of departure
abmessen, gauge
abmessung, dimension
abmessungen, measurements
abmessung, physical dimension
abmildernd, moderating
abmontieren, unrig
abmühend, struggling with
abmühen, struggle with
abmusternd, paying off
abnagende, gnawing off
abnagend, gnawing
abnagen, gnaw
abnahme, acceptance
abnahmebedingungen, acceptability standards
abnahmebereich, acceptance region
abnahmebescheinigung, acceptance certificate
abnahmebescheinigung, certificate of acceptance
abnahmebescheinigung, certificate of inspection
abnahme, decline
abnahme, decrease
abnahme, decrement
abnahmekonfiguration, acceptance configuration
abnahmekontrolle, acceptance inspection
abnahme, lessening
abnahme, letdown
abnahmelinie, acceptance line
abnahmemethode, method of inspection
abnahmeprotokoll, acceptance certificate
abnahmeprüfung, acceptance factory test
abnahmeprüfung, acceptance inspection
abnahmeprüfung, acceptance test
abnahmeprüfung, proof test
abnahmeprüfung, quality inspection
abnahmequittung, acceptor handshake
abnahme, removal
abnahmetest, acceptance trial
abnahmevorschrift, acceptance test procedure
abnahmevorschriften, acceptance standards
abnahmezahl, acceptance number
abnahmezeichnung, acceptance drawing
abnehmbar, detachable
abnehmbarkeit, detachability
abnehmbarkeit, removability
abnehmbar, removable
abnehmend, decreasing
abnehmend, decreasingly
abnehmende bevölkerung, declining population
abnehmen, decline
abnehmen, decrease
abnehmende preise, falling prices
abnehmender ertrag, diminishing returns
abnehmender mond, waning moon
abnehmender nutzen, diminishing utility
abnehmendes risiko, decreasing risk
abnehmendes vertrauen, declining confidence
abnehmend, waning
abnehmen, reduce weight
abnehmen, slim
abnehmen, take off
abnehmen, wane
abnehmer, accepter
abnehmerkreis, clientele
abnehmer, outlet
abnehmer, subpurchaser
abneigung, antipathy
abneigung, aversion
abneigung, disfavour
abneigung, disinclination
abneigungen, antipathies
abneigung, repugnance
abnorm, abnormally
abnormal, abnormal
abnormität, anomalousness
abnormitäten, anomalousnesses
abnorm, kinky
abnötigende, wringing from
abnötigen, extort
abnötigen, wring from
abnutzend, outwearing
abnützend, wearing
abnutzen, fray
abnutzen, fret
abnutzen, outwear
abnutzen, wear
abnützen, wear
abnutzen, wear down
abnützen, wear off
abnützung, abrasion
abnutzung, fading
abnutzungserscheinung, sign of overstrain
abnützungsschlacht, battle of attrition
abnutzungstest, wearout test
abnutzung, wastage
abnutzung, wear
abnützung, wear
abnutzung, wear and tear
abonnementpreis, subscription rate
abonnementsbedingungen, terms of subscription
abonnements, subscriptions
abonnement, subscription
abonnementvorstellungen, subscription performances
abonnementvorstellung, subscription performance
abonnentenanalyse, subscriber analysis
abonnenten, subscribers
abonnentenversicherung, subscribers' insurance
abonnent, subscriber
abonnent, subscribers
abonnierend, subscribing
abonnieren, subscribe
abonnierenþ, subscribe
abonniert, subscribed
abordnend, delegating
abordnung, delegacy
abordnung, deputation
abordnungen, delegations
aborterker, latrine projection
aborte, toilets
abpassend, adjusting
abpflückend, picking
abpflücken, pick
abplacken, drudge
abplacken, fag
abplagend, working onself to death
abprallend, rebounding
abprallen, recoil
abprall, rebound
abprallschräge, talus wall
abprallwinkel, angle of ricochet
abprotzend, unlimbering
abprotzen, unlimber
abputzen, clean
abputzend, cleaning
abquälend, worrying
abquetschend, squeezing
abrackernd, drudging
abrackern, drudge
abrahmen, skim
abratend, dissuading
abratende, dissuasively
abraten, dissuade
abraten, dissuade from
abraten, dissuasion
abraten von, discourage from
abreagierend, abreacting
